Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Haiti,Reported number of adolescents receiving ART,Female,2021,2500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2010,<500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2011,500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2012,600,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2013,720,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2014,840,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2015,910,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2016,1100,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2017,1200,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2018,1300,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2019,1400,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2020,1600,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Male,2021,1700,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2010,970,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2011,1100,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2012,1500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2013,1900,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2014,2300,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2015,2500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2016,3000,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2017,3500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2018,3400,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2019,3700,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2020,4000,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Total,2021,4200,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2010,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2011,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2012,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2013,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2014,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2015,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2016,<100,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2017,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2018,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2019,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2020,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2021,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2022,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Female,2023,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2010,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2011,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2012,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2013,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2014,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2015,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2016,<100,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2017,<100,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2018,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2019,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2020,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2021,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2022,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Male,2023,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2010,<500,Units,Number,Estimated value,Free,<500,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2011,<500,Units,Number,Estimated value,Free,<500,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2012,<500,Units,Number,Estimated value,Free,<500,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2013,<500,Units,Number,Estimated value,Free,<200,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2014,<500,Units,Number,Estimated value,Free,<200,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2015,<500,Units,Number,Estimated value,Free,<200,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2016,<200,Units,Number,Estimated value,Free,<200,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2017,<200,Units,Number,Estimated value,Free,<200,<500,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2018,<200,Units,Number,Estimated value,Free,<200,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2019,<200,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2020,<100,Units,Number,Estimated value,Free,<100,<200,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2021,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2022,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,Estimated number of annual AIDS-related deaths,Total,2023,<100,Units,Number,Estimated value,Free,<100,<100,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2010,12.34,Units,"Rate per 100,000 of Population",Estimated value,Free,9.68,15.07,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2011,12.39,Units,"Rate per 100,000 of Population",Estimated value,Free,9.73,15.14,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2012,11.64,Units,"Rate per 100,000 of Population",Estimated value,Free,9.08,14.2,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2013,10.56,Units,"Rate per 100,000 of Population",Estimated value,Free,8.11,12.84,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2014,9.71,Units,"Rate per 100,000 of Population",Estimated value,Free,7.35,12.07,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2015,8.98,Units,"Rate per 100,000 of Population",Estimated value,Free,6.77,11,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2016,8.65,Units,"Rate per 100,000 of Population",Estimated value,Free,6.51,10.7,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2017,7.12,Units,"Rate per 100,000 of Population",Estimated value,Free,5.33,8.69,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2018,5.68,Units,"Rate per 100,000 of Population",Estimated value,Free,4.04,6.96,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2019,4.59,Units,"Rate per 100,000 of Population",Estimated value,Free,3.21,5.72,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2020,3.89,Units,"Rate per 100,000 of Population",Estimated value,Free,2.59,4.97,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2021,3.11,Units,"Rate per 100,000 of Population",Estimated value,Free,1.96,4.22,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2022,2.58,Units,"Rate per 100,000 of Population",Estimated value,Free,1.6,3.66,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Female,2023,2.23,Units,"Rate per 100,000 of Population",Estimated value,Free,1.37,3.27,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Male,2010,11.77,Units,"Rate per 100,000 of Population",Estimated value,Free,9.65,14.33,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Male,2011,11.95,Units,"Rate per 100,000 of Population",Estimated value,Free,9.78,14.45,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Male,2012,11.46,Units,"Rate per 100,000 of Population",Estimated value,Free,9.41,13.89,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
Haiti,"Estimated rate of annual AIDS-related deaths (per 100,000 population)",Male,2013,10.58,Units,"Rate per 100,000 of Population",Estimated value,Free,8.68,12.75,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2024 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2023,10 to 19 years old
